step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
0,1,2,1.09140625,0.38935074,-1.0,0.23828125,,
1,1,0,3.971550667285919,0.38881487,-1.0,0.203125,,
2,1,2,1.95078125,0.36837074,-1.0,0.41015625,,
3,1,0,4.551720225811005,0.4094997,-1.0,0.33984375,,
4,1,2,2.946875,0.34769094,-1.0,0.609375,,
5,1,1,1.775,0.3685431,-1.0,0.375,,
6,1,1,0.5640625,0.39772353,-1.0,0.1328125,,
7,1,1,-0.1,-1.0,-1.0,0.0,,
8,1,0,-0.6,-1.0,-1.0,0.0,,
9,1,2,0.23203125,0.40422395,-1.0,0.06640625,,
10,1,0,-0.6,-1.0,-1.0,0.0,,
11,1,0,-0.6,-1.0,-1.0,0.0,,
12,1,0,-0.6,-1.0,-1.0,0.0,,
13,1,2,0.0953125,0.39888847,-1.0,0.0390625,,
14,1,0,-0.6,-1.0,-1.0,0.0,,
15,1,0,-0.6,-1.0,-1.0,0.0,,
16,1,0,-0.6,-1.0,-1.0,0.0,,
17,1,2,-0.1,-1.0,-1.0,0.0,,
18,1,1,-0.1,-1.0,-1.0,0.0,,
19,1,0,-0.6,-1.0,-1.0,0.0,,
20,1,2,-0.1,-1.0,-1.0,0.0,,
21,1,1,-0.1,-1.0,-1.0,0.0,,
22,1,0,-0.6,-1.0,-1.0,0.0,,
23,1,1,-0.1,-1.0,-1.0,0.0,,
24,1,1,-0.1,-1.0,-1.0,0.0,,
25,1,0,-0.6,-1.0,-1.0,0.0,,
26,1,2,-0.1,-1.0,-1.0,0.0,,
27,1,2,-0.1,-1.0,-1.0,0.0,,
28,1,0,-0.6,-1.0,-1.0,0.0,,
29,1,2,-0.1,-1.0,-1.0,0.0,,
30,1,1,-0.1,-1.0,-1.0,0.0,,
31,1,1,-0.1,-1.0,-1.0,0.0,,
32,1,0,-0.6,-1.0,-1.0,0.0,,
33,1,0,-0.6,-1.0,-1.0,0.0,,
34,1,0,-0.6,-1.0,-1.0,0.0,,
35,1,2,-0.1,-1.0,-1.0,0.0,,
36,1,0,-0.6,-1.0,-1.0,0.0,,
37,1,1,-0.1,-1.0,-1.0,0.0,,
38,1,2,-0.1,-1.0,-1.0,0.0,,
39,1,0,-0.6,-1.0,-1.0,0.0,,
40,1,2,-0.1,-1.0,-1.0,0.0,,
41,1,0,-0.6,-1.0,-1.0,0.0,,
42,1,0,-0.6,-1.0,-1.0,0.0,,
43,1,1,-0.1,-1.0,-1.0,0.0,,
44,1,1,-0.1,-1.0,-1.0,0.0,,
45,1,1,0.0,-1.0,-1.0,0.0,,
46,1,1,0.0,-1.0,-1.0,0.0,,
47,1,2,-0.1,-1.0,-1.0,0.0,,
48,1,0,-0.6,-1.0,-1.0,0.0,,
49,1,0,-0.6,-1.0,-1.0,0.0,,
50,1,1,-0.1,-1.0,-1.0,0.0,,
51,1,0,-20.0,-1.0,-1.0,0.0,True,collision
0,1,0,-0.6,-1.0,-1.0,0.0,,
1,1,1,-0.1,-1.0,-1.0,0.0,,
2,1,0,-0.6,-1.0,-1.0,0.0,,
3,1,0,-0.6,-1.0,-1.0,0.0,,
4,1,1,-0.1,-1.0,-1.0,0.0,,
5,1,2,-0.1,-1.0,-1.0,0.0,,
6,1,1,-5.1,-1.0,-1.0,0.0,,
7,1,2,-5.1,-1.0,-1.0,0.0,,
8,1,2,-0.1,-1.0,-1.0,0.0,,
9,1,1,-0.1,-1.0,-1.0,0.0,,
10,1,2,-5.1,-1.0,-1.0,0.0,,
11,1,1,-5.1,-1.0,-1.0,0.0,,
12,1,1,-0.1,-1.0,-1.0,0.0,,
13,1,0,-0.6,-1.0,-1.0,0.0,,
14,1,1,-0.1,-1.0,-1.0,0.0,,
15,1,2,-0.1,-1.0,-1.0,0.0,,
16,1,0,-0.6,-1.0,-1.0,0.0,,
17,1,0,-0.6,-1.0,-1.0,0.0,,
18,1,0,-0.6,-1.0,-1.0,0.0,,
19,1,0,-0.6,-1.0,-1.0,0.0,,
20,1,0,-0.6,-1.0,-1.0,0.0,,
21,1,0,-0.6,-1.0,-1.0,0.0,,
22,1,2,-0.1,-1.0,-1.0,0.0,,
23,1,1,-0.1,-1.0,-1.0,0.0,,
24,1,2,-5.1,-1.0,-1.0,0.0,,
25,1,2,-0.1,-1.0,-1.0,0.0,,
26,1,0,-0.6,-1.0,-1.0,0.0,,
27,1,0,-0.6,-1.0,-1.0,0.0,,
28,1,2,-0.1,-1.0,-1.0,0.0,,
29,1,2,-0.1,-1.0,-1.0,0.0,,
30,1,0,-0.6,-1.0,-1.0,0.0,,
31,1,0,-0.6,-1.0,-1.0,0.0,,
32,1,0,-0.6,-1.0,-1.0,0.0,,
33,1,1,-0.1,-1.0,-1.0,0.0,,
34,1,1,-0.1,-1.0,-1.0,0.0,,
35,1,1,0.0,-1.0,-1.0,0.0,,
36,1,2,-0.1,-1.0,-1.0,0.0,,
37,1,1,-5.1,-1.0,-1.0,0.0,,
38,1,1,-0.1,-1.0,-1.0,0.0,,
39,1,1,0.0,-1.0,-1.0,0.0,,
40,1,2,-0.1,-1.0,-1.0,0.0,,
41,1,2,-0.1,-1.0,-1.0,0.0,,
42,1,1,-0.1,-1.0,-1.0,0.0,,
43,1,2,-5.1,-1.0,-1.0,0.0,,
44,1,2,-0.1,-1.0,-1.0,0.0,,
45,1,2,0.0,-1.0,-1.0,0.0,,
46,1,0,-0.6,-1.0,-1.0,0.0,,
47,1,2,-0.1,-1.0,-1.0,0.0,,
48,1,1,-0.1,-1.0,-1.0,0.0,,
49,1,1,-0.1,-1.0,-1.0,0.0,,
50,1,1,0.0,-1.0,-1.0,0.0,,
51,1,1,0.0,-1.0,-1.0,0.0,,
52,1,1,0.0,-1.0,-1.0,0.0,,
53,1,0,-0.6,-1.0,-1.0,0.0,,
54,1,2,-0.1,-1.0,-1.0,0.0,,
55,1,2,-0.1,-1.0,-1.0,0.0,,
56,1,0,-0.6,-1.0,-1.0,0.0,,
57,1,2,-0.1,-1.0,-1.0,0.0,,
58,1,0,-0.6,-1.0,-1.0,0.0,,
59,1,1,-0.1,-1.0,-1.0,0.0,,
60,1,0,-0.6,-1.0,-1.0,0.0,,
61,1,1,-0.1,-1.0,-1.0,0.0,,
62,1,0,-0.6,-1.0,-1.0,0.0,,
63,1,0,-20.0,-1.0,-1.0,0.0,True,collision
0,1,2,1.20859375,0.38638064,-1.0,0.26171875,,
1,1,0,4.113497489690781,0.38776925,-1.0,0.23046875,,
2,1,1,0.0953125,0.41481563,-1.0,0.0390625,,
3,1,2,1.20859375,0.38376686,-1.0,0.26171875,,
4,1,2,2.4,0.35955527,-1.0,0.5,,
5,1,0,35.18694272041321,0.38792396,-1.0,0.4453125,,
6,1,0,35.2147092461586,0.35893315,-1.0,0.421875,,
7,1,0,4.998946392536164,0.35911697,-1.0,0.37890625,,
8,1,1,0.62265625,0.38941622,-1.0,0.14453125,,
9,1,0,3.1376518845558166,0.41887587,-1.0,0.06640625,,
10,1,2,1.384375,0.36540937,-1.0,0.296875,,
