step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
0,1,2,4.01226823925972,0.3923901,-1.0,0.21484375,,
1,1,1,2.9456842482089995,0.4182069,-1.0,0.02734375,,
2,1,0,-0.6,-1.0,-1.0,0.0,,
3,1,2,4.0251356899738315,0.3898166,-1.0,0.21484375,,
4,1,1,-0.1,-1.0,-1.0,0.0,,
5,1,1,0.9,-1.0,-1.0,0.0,,
6,1,0,-0.6,-1.0,-1.0,0.0,,
7,1,2,-0.1,-1.0,-1.0,0.0,,
8,1,2,3.4819602012634276,0.40079546,-1.0,0.1171875,,
9,1,0,2.922492378950119,0.44237652,-1.0,0.046875,,
10,1,1,-0.1,-1.0,-1.0,0.0,,
11,1,2,3.206876868009567,0.40503088,-1.0,0.06640625,,
12,1,0,2.989611083269119,0.40942153,-1.0,0.02734375,,
13,1,2,3.8456641674041747,0.38664842,-1.0,0.17578125,,
14,1,0,3.25937425494194,0.4179689,-1.0,0.08984375,,
15,1,2,4.5881923079490665,0.36704904,-1.0,0.3046875,,
16,1,1,3.4230521857738494,0.3930458,-1.0,0.09765625,,
17,1,0,3.18730434179306,0.39722663,-1.0,0.0546875,,
18,1,0,-0.6,-1.0,-1.0,0.0,,
19,1,2,3.6616626918315887,0.38047996,-1.0,0.1328125,,
20,1,0,3.3821178019046783,0.38170144,-1.0,0.078125,,
21,1,0,2.9179065465927123,0.4120437,-1.0,0.015625,,
22,1,0,-0.6,-1.0,-1.0,0.0,,
23,1,0,-0.6,-1.0,-1.0,0.0,,
24,1,2,-0.1,-1.0,-1.0,0.0,,
25,1,2,3.543221855163574,0.36119938,-1.0,0.08984375,,
26,1,2,4.379303061962128,0.3385144,-1.0,0.234375,,
27,1,1,3.543221855163574,0.36119938,-1.0,0.08984375,,
28,1,2,4.401724392175675,0.33793637,-1.0,0.23828125,,
29,1,2,5.535018199682236,0.3144026,-1.0,0.44140625,,
30,1,0,5.008366906642914,0.31035787,-1.0,0.33203125,,
31,1,0,4.294941329956055,0.31241798,-1.0,0.19140625,,
32,1,1,3.7370922207832336,0.3302378,-1.0,0.09765625,,
33,1,1,-0.1,-1.0,-1.0,0.0,,
34,1,2,3.7370922207832336,0.3302378,-1.0,0.09765625,,
35,1,2,4.314024502038956,0.3125076,-1.0,0.1953125,,
36,1,1,3.714059644937515,0.33093807,-1.0,0.09375,,
37,1,1,0.9,-1.0,-1.0,0.0,,
38,1,0,-0.6,-1.0,-1.0,0.0,,
39,1,0,-0.6,-1.0,-1.0,0.0,,
40,1,0,-0.6,-1.0,-1.0,0.0,,
41,1,1,-0.1,-1.0,-1.0,0.0,,
42,1,0,-0.6,-1.0,-1.0,0.0,,
43,1,1,-0.1,-1.0,-1.0,0.0,,
44,1,2,-0.1,-1.0,-1.0,0.0,,
45,1,1,-1.1,-1.0,-1.0,0.0,,
46,1,0,-0.6,-1.0,-1.0,0.0,,
47,1,2,-0.1,-1.0,-1.0,0.0,,
48,1,0,-0.6,-1.0,-1.0,0.0,,
49,1,2,-0.1,-1.0,-1.0,0.0,,
50,1,1,-0.1,-1.0,-1.0,0.0,,
51,1,1,0.9,-1.0,-1.0,0.0,,
52,1,0,-0.6,-1.0,-1.0,0.0,,
