step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
0,1,2,7.653585129976273,0.25397047,-1.0,0.8046875,,
1,1,0,37.50075733065605,0.22203603,-1.0,0.7421875,,
2,1,2,6.315802910923958,0.24027692,-1.0,0.5234375,,
3,1,2,5.084744149446488,0.26773867,-1.0,0.3046875,,
4,1,2,4.219530129432679,0.29234397,-1.0,0.15625,,
5,1,0,-0.6,-1.0,-1.0,0.0,,
6,1,1,3.9510670840740203,0.28353658,-1.0,0.09375,,
7,1,1,4.58967691063881,0.26128337,-1.0,0.19921875,,
8,1,1,5.200141349434853,0.24075298,-1.0,0.30078125,,
9,1,1,6.261450552940369,0.21208489,-1.0,0.484375,,
10,1,1,7.41973457634449,0.18745933,-1.0,0.69140625,,
11,1,2,6.261450552940369,0.21208489,-1.0,0.484375,,
12,1,2,5.153625363111496,0.24224368,-1.0,0.29296875,,
13,1,1,6.106430122256279,0.21574523,-1.0,0.45703125,,
14,1,1,7.119099029898644,0.19289894,-1.0,0.63671875,,
15,1,1,8.002102503180504,0.18036075,-1.0,0.80078125,,
16,2,0,88.85832493901253,0.16536626,-1.0,0.95703125,,
17,2,1,-0.1,0.16654429,-1.0,0.0,,
18,2,2,-0.1,0.16524528,-1.0,0.0,,
19,2,2,0.1,0.16931923,-1.0,0.0,,
20,2,1,-0.1,0.16504848,-1.0,0.0,,
21,2,0,-0.6,0.16504848,-1.0,0.0,,
22,2,2,-0.1,0.17083618,-1.0,0.0,,
23,2,0,-0.6,0.17,-1.0,0.0,,
24,2,0,-0.6,0.17114322,-1.0,0.0,,
25,2,1,-0.1,0.1708391,-1.0,0.0,,
26,2,1,0.1,0.17015581,-1.0,0.0,,
27,2,0,-0.6,0.16402744,-1.0,0.0,,
28,2,1,-0.1,0.1662077,-1.0,0.0,,
29,2,2,-0.1,0.16451444,-1.0,0.0,,
30,2,0,-0.6,0.16410972,-1.0,0.0,,
31,2,0,-0.6,0.16871573,-1.0,0.0,,
32,2,0,-0.6,0.16410972,-1.0,0.0,,
33,2,2,-0.1,0.17042594,-1.0,0.0,,
34,2,2,0.1,0.16560495,-1.0,0.0,,
35,2,2,0.1,0.16690417,-1.0,0.0,,
36,2,1,-0.1,0.16424677,-1.0,0.0,,
37,2,0,-0.6,0.1640122,-1.0,0.0,,
38,2,0,-0.6,0.16636406,-1.0,0.0,,
39,2,0,-0.6,0.164195,-1.0,0.0,,
