step,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,green_pixel_count,nearest_area,centroid_x,centroid_y,action,reward,distance_to_lower_center
0,6.433935165405273,15.971410751342773,52.27277374267578,52.27497482299805,5.8463873863220215,5.891739368438721,57.762996673583984,11.440590858459473,3581.0,3461.5,487.0,225.0,2,-0.8598746783619924,368.41552627434146
1,6.432249546051025,15.593101501464844,52.281227111816406,52.28223419189453,5.8479905128479,5.892724514007568,57.75013732910156,10.95706844329834,1832.0,1735.5,499.0,239.0,0,0.22961607369707743,365.48324174987835
2,6.433781623840332,6.436384677886963,52.274269104003906,52.274845123291016,5.846587181091309,5.891619682312012,57.760074615478516,5.925743103027344,10478.0,10277.5,311.0,225.0,2,0.8599333103275852,292.22251795506793
3,6.432977676391602,6.436253070831299,52.27605056762695,52.27942657470703,5.847164154052734,5.892517566680908,57.75682067871094,5.925753116607666,13326.0,13102.0,317.0,239.0,0,0.3261540837449143,279.7320146139873
4,6.437819957733154,6.440328121185303,52.261226654052734,52.261173248291016,5.843659400939941,5.889487266540527,57.788665771484375,5.9238200187683105,17528.0,17270.0,326.0,257.0,0,0.3545164475214467,264.43335644354704
5,6.434112071990967,6.437396049499512,52.271270751953125,53.029476165771484,7.903258800506592,5.8917717933654785,57.764862060546875,5.925085544586182,24052.0,23750.0,337.0,281.0,0,0.398400872854193,244.78970566590417
6,6.43470573425293,6.4367523193359375,52.27199935913086,54.53000259399414,13.863258361816406,5.890730857849121,57.76444625854492,5.925631999969482,35106.0,34740.5,354.0,315.0,0,0.4500776381698329,220.0295434708712
7,6.4387969970703125,6.4415154457092285,52.25664520263672,58.52313232421875,18.81670379638672,5.888958930969238,57.79670715332031,5.923039436340332,54902.0,54448.5,375.0,367.0,0,0.5277472918298627,187.57931655702342
8,6.432074069976807,6.434226989746094,52.282493591308594,74.80828094482422,33.96461486816406,19.10687255859375,57.74629211425781,5.927127838134766,60900.0,60435.0,357.0,408.0,0,0.630329744424387,144.97241116847025
9,6.4333906173706055,6.436306476593018,52.275238037109375,164.6888885498047,114.461669921875,158.3885040283203,57.75863265991211,5.925776481628418,46746.0,46316.0,343.0,440.0,0,0.5236366211835956,112.92918134831227
10,6.433518409729004,6.436282634735107,52.275352478027344,52.276668548583984,5.846813678741455,5.891901969909668,57.758968353271484,5.925845146179199,0.0,0.0,-1.0,-1.0,0,-1.0,1000
11,6.432398796081543,6.435004234313965,52.28018569946289,52.28059387207031,5.84777307510376,5.892473220825195,57.750457763671875,5.926629543304443,0.0,0.0,-1.0,-1.0,1,-0.02,1000
12,6.43109655380249,6.433743000030518,52.285552978515625,52.28630447387695,5.848911285400391,5.893321514129639,57.7413444519043,5.927404403686523,0.0,0.0,-1.0,-1.0,1,-0.02,1000
13,6.432155609130859,6.434725284576416,52.2813835144043,52.28181838989258,5.848021507263184,5.89263916015625,57.74858093261719,5.926823616027832,0.0,0.0,-1.0,-1.0,1,-0.02,1000
14,6.4413838386535645,6.443841457366943,52.24794387817383,52.24744415283203,5.840796947479248,5.887379169464111,57.814388275146484,5.921825408935547,6643.0,3641.5,21.0,238.0,1,1.0,360.9722981061012
15,6.434152126312256,6.436931133270264,52.27250289916992,52.98837661743164,5.846260070800781,15.2078218460083,57.76357650756836,5.925395488739014,5031.0,1718.0,9.0,254.0,0,0.2383665756879349,357.17362724590964
16,6.431661605834961,6.434305191040039,52.28316879272461,52.284027099609375,5.848428249359131,5.893009185791016,57.74530029296875,5.927024841308594,14365.0,11590.5,193.0,231.0,1,0.8188991316544859,287.9756934187328
17,6.431777477264404,6.434329986572266,52.282615661621094,52.2833366394043,5.848309516906738,5.892871379852295,57.74573516845703,5.926987171173096,18094.0,14989.5,185.0,247.0,0,0.33765489148981886,274.6069918993324
18,6.43748664855957,6.439996242523193,52.2578125,52.258056640625,5.843236446380615,7.238584995269775,57.78582763671875,5.923398971557617,23715.0,20210.0,173.0,268.0,0,0.36782177032968816,257.73047937719747
19,6.436302661895752,6.438960552215576,53.70782470703125,52.26652526855469,11.307806968688965,8.011515617370605,57.778499603271484,5.924421310424805,32654.0,28643.5,156.0,296.0,0,0.3990232333449012,238.02520874898943
20,6.4319353103637695,6.43450927734375,55.575984954833984,52.283077239990234,15.116287231445312,8.13430118560791,57.74691390991211,5.926936626434326,47297.0,42695.0,137.0,336.0,0,0.4582621277180742,212.4547010541306
21,6.43103551864624,6.433615207672119,61.74836349487305,52.28694152832031,27.638137817382812,10.34162712097168,57.74069595336914,9.848560333251953,63031.0,57661.5,131.0,395.0,0,0.6165379765323016,171.21331723905124
22,6.430984020233154,6.4336957931518555,98.78040313720703,52.28703689575195,81.74737548828125,10.614347457885742,57.74092483520508,31.721830368041992,51199.0,45003.0,132.0,428.0,0,0.4165455697850138,149.77316181479245
