step,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,green_pixel_count,nearest_area,centroid_x,centroid_y,action,reward,distance_to_lower_center
0,6.432398796081543,6.434805870056152,57.512142181396484,52.28035354614258,5.8478288650512695,5.89237117767334,60.9378547668457,13.312494277954102,26798.0,26482.0,67.0,383.0,0,0.4137053512141855,228.82744590629858
1,6.430961608886719,12.174613952636719,52.28621292114258,52.28669738769531,5.849022388458252,5.893367290496826,57.74020004272461,15.054276466369629,296.0,0.0,-1.0,-1.0,2,-1.0,1000
2,6.433277606964111,11.154151916503906,52.275367736816406,52.276973724365234,5.846909999847412,5.892006874084473,57.757537841796875,14.970900535583496,2316.0,2216.5,494.0,234.0,3,1.0,365.96174663480883
3,6.430969715118408,6.433596611022949,52.286434173583984,52.287193298339844,5.84907341003418,5.89346981048584,57.7401008605957,5.927516460418701,7866.0,7691.0,292.0,234.0,2,1.0,280.4514218184675
4,6.434401988983154,6.436783313751221,52.27138137817383,52.27086639404297,5.845965385437012,5.891012668609619,57.76338577270508,5.925441741943359,6356.0,6197.5,290.0,222.0,3,0.022182926733601286,291.9863010485252
5,6.432612895965576,6.435595989227295,52.27818298339844,52.280399322509766,5.847500801086426,5.892552852630615,57.7532844543457,8.230317115783691,5227.0,5083.0,286.0,212.0,3,0.04394932739047494,301.4962686336267
6,6.432719707489014,6.4347639083862305,52.2808723449707,52.278961181640625,5.847681045532227,5.892082214355469,57.750431060791016,5.926916122436523,4387.0,4254.0,282.0,203.0,3,0.053183902459690485,310.0919218554395
7,6.475550174713135,6.478714466094971,52.11763000488281,52.118289947509766,5.813257694244385,6.535676002502441,58.06133270263672,5.9022417068481445,3733.0,3610.5,274.0,195.0,3,0.06507105033240133,317.5106297433206
8,6.431300640106201,6.433686256408691,52.285560607910156,52.28512954711914,5.848780155181885,5.893106937408447,57.74164581298828,5.927481174468994,4278.0,4146.0,275.0,202.0,0,0.36998206642468673,310.5817122755298
9,6.43501091003418,6.4380292892456055,52.268882751464844,52.2711296081543,5.845530033111572,5.891149997711182,57.770565032958984,8.044328689575195,4976.0,4835.0,274.0,209.0,0,0.3711800498334917,303.5341825890455
10,6.436042785644531,6.438933849334717,52.26328659057617,52.26490020751953,5.84445858001709,5.890256404876709,57.77703094482422,5.924063682556152,5857.0,5704.0,274.0,218.0,0,0.3907351435765803,294.55050500720586
11,6.432510852813721,6.435566425323486,52.27878189086914,52.281219482421875,5.847601890563965,5.892679214477539,57.75291061401367,7.964509010314941,4862.0,4722.5,270.0,208.0,3,0.04130590401780545,304.32219767871027
12,6.433413028717041,6.436179161071777,52.275245666503906,52.2768440246582,5.846888542175293,16.156782150268555,57.757904052734375,5.925839424133301,4582.0,4450.5,39.0,217.0,2,-0.39512521562953795,366.2157833846051
13,6.431440353393555,6.434003829956055,52.284812927246094,52.95763397216797,5.848680019378662,13.386299133300781,57.74341583251953,5.927284240722656,4618.0,4482.0,43.0,209.0,3,0.0979870121708462,369.80129799664036
14,6.426192760467529,6.431008338928223,52.31192398071289,53.977195739746094,8.128363609313965,5.899041175842285,57.71690368652344,5.9301838874816895,80595.0,80047.0,390.0,254.0,2,1.0,290.26367323521555
